-nan
0.152354
0.295736
0.429313
0.55255
0.665126
0.765445
0.851335
0.903548
0.83854
0.783239
0.735978
0.69454
0.657239
0.621046
0.583711
0.543483
0.491269
0.423986
0.399001
0.438169
0.539926
0.608977
0.51455
0.491399
0.564266
0.64506
0.72171
0.787017
0.849041
0.911017
0.971884
1.00044
0.99916
0.929103
0.850481
0.765615
0.676724
0.584875
0.490769
0.395989
0.301803
0.205968
0.107326
