ref x,ref y),x,y
42.842266,-5.638947,42.796503,-5.73045
42.842266,-5.638947,42.82817,-5.742959
42.936646,-5.672102,42.859806,-5.755551
42.936646,-5.672102,42.891416,-5.768207
42.936646,-5.672102,42.922988,-5.78098
43.030811,-5.705886,42.954513,-5.793891
43.030811,-5.705886,42.986019,-5.806835
43.030811,-5.705886,43.017481,-5.819896
43.124744,-5.740326,43.048914,-5.833034
43.124744,-5.740326,43.080296,-5.84631
43.124744,-5.740326,43.111644,-5.859663
43.218433,-5.775449,43.14298,-5.873029
43.218433,-5.775449,43.174268,-5.886517
43.218433,-5.775449,43.205506,-5.900135
43.311867,-5.811284,43.23673,-5.913776
43.311867,-5.811284,43.267921,-5.92749
43.311867,-5.811284,43.299063,-5.941327
43.405029,-5.847855,43.330176,-5.955241
43.405029,-5.847855,43.361234,-5.969297
43.405029,-5.847855,43.392232,-5.9835
43.497913,-5.885192,43.423169,-5.997807
43.497913,-5.885192,43.454059,-6.012213
43.497913,-5.885192,43.484914,-6.026715
43.590508,-5.923321,43.515706,-6.041358
43.590508,-5.923321,43.546459,-6.056082
43.590508,-5.923321,43.577164,-6.070897
43.682793,-5.96227,43.60783,-6.085798
43.682793,-5.96227,43.638435,-6.100829
43.682793,-5.96227,43.668997,-6.115937
43.774757,-6.002065,43.699536,-6.131081
43.774757,-6.002065,43.730017,-6.146337
43.866402,-6.042717,43.760474,-6.161638
43.866402,-6.042717,43.790882,-6.177034
43.866402,-6.042717,43.821222,-6.192591
43.957737,-6.084169,43.851539,-6.208212
43.957737,-6.084169,43.88183,-6.223866
43.957737,-6.084169,43.912069,-6.239592
44.04879,-6.126342,43.942289,-6.255332
44.04879,-6.126342,43.972488,-6.271106
44.04879,-6.126342,44.002683,-6.286868
44.139587,-6.169155,44.032883,-6.302638
44.139587,-6.169155,44.063087,-6.318428
44.139587,-6.169155,44.093254,-6.334279
44.230156,-6.212531,44.123362,-6.350184
44.230156,-6.212531,44.153424,-6.36617
44.230156,-6.212531,44.18347,-6.382193
44.320518,-6.25639,44.213495,-6.398223
44.320518,-6.25639,44.243486,-6.414312
44.320518,-6.25639,44.273475,-6.430401
44.410698,-6.300653,44.303444,-6.446502
44.410698,-6.300653,44.33339,-6.462637
44.410698,-6.300653,44.363347,-6.478747
44.500725,-6.345242,44.393293,-6.49486
44.500725,-6.345242,44.423258,-6.510927
44.500725,-6.345242,44.453218,-6.526981
44.590622,-6.390078,44.483168,-6.543051
44.590622,-6.390078,44.513111,-6.559143
44.590622,-6.390078,44.543085,-6.575178
44.680416,-6.43508,44.573055,-6.591209
44.680416,-6.43508,44.603066,-6.607158
44.680416,-6.43508,44.633085,-6.623079
44.77013,-6.480171,44.66311,-6.638992
44.77013,-6.480171,44.693185,-6.654813
44.77013,-6.480171,44.723271,-6.670606
44.859791,-6.525272,44.753373,-6.686377
44.859791,-6.525272,44.78353,-6.702045
44.859791,-6.525272,44.813706,-6.717673
44.949425,-6.570303,44.843904,-6.733265
44.949425,-6.570303,44.874168,-6.748735
44.949425,-6.570303,44.904466,-6.764141
45.039055,-6.615186,44.934793,-6.779494
45.039055,-6.615186,44.965144,-6.794805
45.039055,-6.615186,44.995514,-6.810082
45.128708,-6.659842,45.025902,-6.825328
45.128708,-6.659842,45.056357,-6.84045
45.128708,-6.659842,45.086868,-6.855465
45.218407,-6.704192,45.117403,-6.870434
45.218407,-6.704192,45.147997,-6.885296
45.308182,-6.748156,45.178674,-6.899994
45.308182,-6.748156,45.209424,-6.914554
45.308182,-6.748156,45.240225,-6.929017
45.398052,-6.791656,45.271068,-6.943394
45.398052,-6.791656,45.301953,-6.957687
45.398052,-6.791656,45.332901,-6.971851
45.488049,-6.834613,45.363902,-6.985904
45.488049,-6.834613,45.39497,-6.999823
45.488049,-6.834613,45.42609,-7.013646
45.578194,-6.876948,45.457269,-7.027344
45.578194,-6.876948,45.488498,-7.040939
45.578194,-6.876948,45.519801,-7.054367
45.668514,-6.918582,45.551151,-7.067688
45.668514,-6.918582,45.582534,-7.080926
45.668514,-6.918582,45.613965,-7.09404
