Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^23.508000,0.002196,-12.127852,-0.230616,0.308006,-20,9
50.312,0.044177,-0.203611,-3.938343,1.001112,28,-4,,,,,,
50.418,0.041379,0.437946,0.034584,0.2575,-25,0,,,,,,
50.555,0.061364,0.453743,-0.951619,0.868313,-25,0,,,,,,
50.663,0.037263,1.789604,-3.031978,0.999473,-8,0,,,,,,
50.799,0.028304,2.695543,-3.031925,1.001973,18,0,,,,,,
50.903,0.020965,3.536863,-0.241406,1.002138,-6,0,,,,,,
51.033,0.020755,4.259032,-1.064328,1.002442,-6,0,,,,,,
51.141,0.044707,5.96554,-2.141277,1.002748,-6,0,,,,,,
51.273,0.049669,6.973483,-1.599035,0.999824,0,0,,,,,,
51.377,0.053579,7.916375,-0.478001,0.454244,28,-1,,,,,,
51.509,0.049419,7.902219,0.756759,0.309973,28,0,,,,,,
51.617,0.07056,7.673596,3.124801,0.443106,-23,5,,,,,,
51.749,0.057097,7.743143,8.313532,0.946343,28,-5,,,,,,
51.861,0.049873,7.7544,3.698822,0.355571,28,0,,,,,,
51.995,0.045871,7.658156,9.22249,0.891221,28,1,,,,,,
52.108,0.050285,7.572232,5.45802,0.527891,28,-2,,,,,,
52.24,0.051113,6.842344,8.403428,0.787216,-23,2,,,,,,
52.344,0.041172,6.671858,6.89603,0.729266,28,-5,,,,,,
52.459,0.029207,6.673293,6.595376,0.59864,-23,6,,,,,,
52.588,0.033743,6.497467,8.519132,0.950042,11,0,,,,,,
52.697,0.02047,6.113822,6.904642,0.996408,11,0,,,,,,
52.835,0.018897,6.147628,4.535019,0.55311,26,-1,,,,,,
52.947,0.029191,5.998832,7.881537,0.871493,-23,1,,,,,,
53.082,0.008789,5.589867,5.844799,0.986898,-2,0,,,,,,
53.195,0.011249,5.741302,2.666293,0.895965,26,-5,,,,,,
53.335,0.024234,6.026323,1.981077,0.414045,17,0,,,,,,
53.475,0.025689,6.010505,6.178347,0.968772,-2,0,,,,,,
53.581,0.018318,5.688213,4.990817,0.997613,-2,0,,,,,,
53.711,0.022237,5.840679,2.183756,0.998026,-2,0,,,,,,
53.819,0.03388,6.210398,0.409723,0.488927,26,-2,,,,,,
53.946,0.044,6.588244,2.501517,0.623914,17,4,,,,,,
54.057,0.032936,6.31551,6.712719,0.994513,-2,0,,,,,,
54.194,0.033137,6.155854,4.658261,0.99761,17,0,,,,,,
54.302,0.04232,5.956403,5.411839,1.01432,17,0,,,,,,
54.434,0.043716,5.725579,6.834373,1.018023,17,0,,,,,,
54.545,0.049095,5.505318,6.728745,1.001962,-2,0,,,,,,
54.681,0.048782,5.310153,3.80303,0.993772,-2,0,,,,,,
54.781,0.038225,5.342672,1.112388,0.996746,17,0,,,,,,
54.913,0.045308,5.516746,2.192879,1.004706,17,0,,,,,,
55.017,0.058545,5.26599,5.67042,1.02066,17,0,,,,,,
55.149,0.058233,4.896746,6.996818,1.017699,17,0,,,,,,
55.256,0.050532,4.399686,7.85938,1.013498,17,0,,,,,,
55.398,0.031186,3.555151,7.429427,1.00101,-2,0,,,,,,
55.503,0.026171,3.149224,4.660498,0.990998,-2,0,,,,,,
55.634,0.046175,2.981876,1.553202,0.994844,17,0,,,,,,
55.747,0.048378,3.060731,1.742212,1.001493,17,0,,,,,,
55.859,0.040003,2.914609,5.255438,1.020701,17,0,,,,,,
55.991,0.034891,2.476798,5.501084,1.007181,-2,0,,,,,,
56.097,0.021564,2.06774,2.231265,0.996101,-2,0,,,,,,
56.227,0.022837,2.045305,0.581522,0.997424,10,0,,,,,,
56.333,0.0492,1.95772,2.398863,1.006224,-9,0,,,,,,
56.47,0.049418,1.741913,2.685007,1.000937,-9,0,,,,,,
56.573,0.030485,1.715539,0.550764,0.999233,-2,0,,,,,,
56.702,0.032165,1.798146,-0.832021,1.002753,-9,0,,,,,,
56.811,0.036547,2.145865,-2.296472,1.002418,17,0,,,,,,
56.946,0.042996,2.376727,-0.210654,1.003226,17,0,,,,,,
57.046,0.063753,2.254987,4.360215,1.022207,-22,0,,,,,,
57.177,0.058765,1.843852,4.613278,1.004182,-22,0,,,,,,
57.287,0.034375,1.504444,1.040839,1.001524,-22,0,,,,,,
57.424,0.037924,1.680762,-2.557891,1.01497,24,0,,,,,,
57.536,0.054662,2.148448,-2.399797,0.99814,17,0,,,,,,
57.668,0.060041,2.305825,0.891608,1.008664,17,0,,,,,,
57.771,0.0618,2.021905,5.094251,1.021149,17,0,,,,,,
57.907,0.054729,1.539079,5.428132,1.006282,-22,0,,,,,,
58.011,0.038568,1.113253,1.76949,0.998581,-22,0,,,,,,
58.143,0.04133,1.224858,-2.235479,1.015591,24,0,,,,,,
58.247,0.066061,1.705629,-2.542619,0.998748,22,0,,,,,,
58.378,0.071306,1.909114,0.224892,1.005445,24,0,,,,,,
58.486,0.057185,1.642114,5.838228,1.041505,24,0,,,,,,
58.622,0.044788,0.927813,8.315792,1.025353,-22,0,,,,,,
58.722,0.034297,0.007444,5.600518,0.99218,-2,0,,,,,,
58.858,0.029394,-0.331578,2.821207,0.992804,5,0,,,,,,
58.961,0.044026,-0.538125,2.292389,0.997559,-8,0,,,,,,
59.098,0.041555,-0.594902,-0.039589,1.001982,-8,0,,,,,,
59.245,0.031908,-0.255225,-2.685899,1.004389,15,0,,,,,,
59.377,0.037553,0.164608,-0.576667,1.001131,24,0,,,,,,
59.481,0.034096,0.135078,2.526068,1.021091,24,0,,,,,,
59.617,0.00841,-0.446926,5.589046,1.008592,-9,0,,,,,,
59.717,0.011781,-0.843024,3.552771,0.995842,-8,0,,,,,,
59.848,0.047241,-0.928252,-0.705166,1.002645,-8,0,,,,,,
59.96,0.049301,-0.660053,-2.298646,1.00338,-6,0,,,,,,
60.075,0.015674,-0.170365,-2.709741,1.000981,-6,0,,,,,,
60.208,0.012741,0.183761,-2.892443,1.001036,15,0,,,,,,
60.313,0.024538,0.597948,-1.645347,0.999635,15,0,,,,,,
60.448,0.027596,0.667142,1.591116,1.014217,24,0,,,,,,
60.551,0.033124,0.146876,7.529069,1.043972,24,0,,,,,,
60.687,0.033047,-0.681636,9.801132,1.037876,-8,0,,,,,,
60.795,0.044143,-1.905086,8.179274,0.995879,-8,0,,,,,,
60.927,0.059515,-2.510434,4.695134,0.988735,-8,0,,,,,,
61.039,0.08248,-2.716591,-0.896949,1.009538,-21,0,,,,,,
61.179,0.069541,-2.100098,-5.272643,1.01568,-8,0,,,,,,
61.282,0.064005,-1.556157,-4.46427,1.000618,-8,0,,,,,,
61.414,0.059662,-0.904185,-4.15597,1.000201,-8,0,,,,,,
61.522,0.054937,-0.41098,-4.18361,1.000163,22,0,,,,,,
61.646,0.057246,0.12132,-1.103262,1.001472,6,0,,,,,,
61.757,0.055467,0.170103,0.905606,1.002037,6,0,,,,,,
61.889,0.045544,0.032465,1.426982,1.000054,-8,0,,,,,,
61.996,0.046344,0.05349,-0.764538,1.004191,-8,0,,,,,,
62.132,0.057747,0.365587,-2.465635,1.003297,6,0,,,,,,
62.236,0.056574,0.617126,-0.966491,1.00065,6,0,,,,,,
62.368,0.041703,0.687096,1.089513,1.002162,6,0,,,,,,
62.476,0.042525,0.55464,2.092262,1.002407,6,0,,,,,,
62.591,0.047233,0.287492,2.319166,1.000691,-8,0,,,,,,
62.72,0.050031,0.205285,0.096958,1.003319,-8,0,,,,,,
62.825,0.058983,0.487141,-2.279821,1.004983,6,0,,,,,,
62.965,0.054212,0.739596,-1.336458,1.000382,6,0,,,,,,
63.073,0.036038,0.766681,1.180066,1.002631,6,0,,,,,,
63.209,0.037608,0.652124,1.928156,1.00206,-8,0,,,,,,
63.317,0.052715,0.56835,-0.444589,1.004037,-8,0,,,,,,
63.456,0.042825,0.892665,-2.236549,1.003929,6,0,,,,,,
63.56,0.037377,1.143295,-1.134816,1.000706,6,0,,,,,,
63.692,0.028113,1.156451,1.180553,1.002377,6,0,,,,,,
63.8,0.030055,1.03124,2.030322,1.002224,6,0,,,,,,
63.932,0.057891,0.81791,1.764904,0.999994,-8,0,,,,,,
64.043,0.055787,0.797365,-0.659985,1.004621,6,0,,,,,,
64.155,0.027804,0.942925,-0.060564,1.00131,6,0,,,,,,
64.291,0.026716,0.899741,1.237961,1.002363,6,0,,,,,,
64.399,0.039244,0.668151,2.622101,1.002189,6,0,,,,,,
64.531,0.043184,0.447397,2.300387,1.000473,-8,0,,,,,,
64.639,0.047238,0.382041,-0.517926,1.002295,6,0,,,,,,
64.771,0.045239,0.412509,0.608174,1.00187,6,0,,,,,,
64.879,0.034582,0.247425,1.940794,1.002691,6,0,,,,,,
65.014,0.03786,0.080246,1.197911,1.000391,-8,0,,,,,,
65.114,0.055871,0.146328,-1.66994,1.005291,-8,0,,,,,,
65.25,0.054913,0.399453,-2.662804,1.00349,6,0,,,,,,
65.354,0.032931,0.664874,-0.20846,1.001458,6,0,,,,,,
65.486,0.031617,0.619623,1.373767,1.002228,6,0,,,,,,
65.59,0.035165,0.38611,2.4486,1.00187,6,0,,,,,,
65.722,0.039216,0.169319,2.058135,0.999688,-8,0,,,,,,
65.83,0.05408,0.161471,-1.281782,1.005191,-8,0,,,,,,
65.962,0.049685,0.384792,-2.329802,1.002914,6,0,,,,,,
66.069,0.025082,0.569495,0.003242,1.00178,6,0,,,,,,
66.202,0.025248,0.490866,1.32496,1.00229,6,0,,,,,,
66.305,0.044499,0.230602,2.095667,1.001936,6,0,,,,,,
66.437,0.048491,-0.002011,1.719382,0.999891,-8,0,,,,,,
66.548,0.042977,-0.003737,-1.468381,1.005062,-8,0,,,,,,
66.684,0.028385,0.290581,-2.383123,1.001685,6,0,,,,,,
66.792,0.025972,0.429556,-0.342449,1.00181,6,0,,,,,,
66.924,0.05255,0.315655,1.546706,1.002579,6,0,,,,,,
67.028,0.055798,0.106756,2.201344,1.002288,6,0,,,,,,
67.16,0.036529,-0.207592,1.196288,1.000469,-8,0,,,,,,
67.271,0.03595,-0.219826,-1.165464,1.004904,-8,0,,,,,,
67.385,0.036646,0.044755,-2.461558,1.003034,6,0,,,,,,
67.52,0.035151,0.228865,-1.026308,1.00092,6,0,,,,,,
67.621,0.046394,0.151336,1.226027,1.002447,6,0,,,,,,
67.759,0.046311,-0.038764,2.041974,1.002195,6,0,,,,,,
67.871,0.033655,-0.345703,1.589574,0.999864,-8,0,,,,,,
68.003,0.034957,-0.391669,-0.893905,1.004927,-8,0,,,,,,
68.107,0.049077,-0.139108,-2.793646,1.004466,6,0,,,,,,
68.242,0.04836,0.07808,-1.492223,1.000052,6,0,,,,,,
68.346,0.035929,0.053483,0.86316,1.001995,6,0,,,,,,
68.482,0.036874,-0.120795,1.410731,1.000627,-8,0,,,,,,
68.586,0.03404,-0.154121,-1.250075,1.005085,-8,0,,,,,,
68.722,0.05541,0.110202,-2.170317,1.001573,6,0,,,,,,
68.83,0.052482,0.23011,-0.152886,1.002068,6,0,,,,,,
68.961,0.027301,0.103781,1.609835,1.002747,-8,0,,,,,,
69.069,0.028983,-0.047774,0.716749,1.000692,-8,0,,,,,,
69.201,0.037967,0.051906,-2.006776,1.005055,-8,0,,,,,,
