ref x,ref y),x,y
42.55793,-5.542986,42.484049,-5.608545
42.55793,-5.542986,42.51382,-5.618776
42.55793,-5.542986,42.543616,-5.628955
42.55793,-5.542986,42.573417,-5.639127
42.652893,-5.574417,42.603214,-5.649375
42.652893,-5.574417,42.633016,-5.659655
42.652893,-5.574417,42.662817,-5.669965
42.747677,-5.606395,42.692607,-5.6803
42.747677,-5.606395,42.722246,-5.690801
42.747677,-5.606395,42.751743,-5.701507
42.842266,-5.638947,42.781132,-5.712399
42.842266,-5.638947,42.810433,-5.723575
42.842266,-5.638947,42.839683,-5.734982
42.936646,-5.672102,42.869044,-5.746522
42.936646,-5.672102,42.898447,-5.758205
42.936646,-5.672102,42.927852,-5.770002
43.030811,-5.705886,42.957267,-5.781807
43.030811,-5.705886,42.986652,-5.793685
43.030811,-5.705886,43.016018,-5.805623
43.124744,-5.740326,43.045416,-5.817507
43.124744,-5.740326,43.074819,-5.829391
43.124744,-5.740326,43.104257,-5.841219
43.124744,-5.740326,43.133716,-5.852981
43.218433,-5.775449,43.163067,-5.864942
43.218433,-5.775449,43.192413,-5.8769
43.218433,-5.775449,43.221693,-5.88891
43.311867,-5.811284,43.250812,-5.90102
43.311867,-5.811284,43.279841,-5.913198
43.311867,-5.811284,43.308799,-5.925488
43.405029,-5.847855,43.337698,-5.937971
43.405029,-5.847855,43.366608,-5.95064
43.405029,-5.847855,43.39561,-5.96354
43.497913,-5.885192,43.424632,-5.9766
43.497913,-5.885192,43.453635,-5.989834
43.497913,-5.885192,43.482621,-6.003282
43.590508,-5.923321,43.511579,-6.016874
43.590508,-5.923321,43.540493,-6.03059
43.590508,-5.923321,43.569353,-6.044325
43.682793,-5.96227,43.598199,-6.057879
43.682793,-5.96227,43.627052,-6.071323
43.682793,-5.96227,43.656024,-6.084682
43.774757,-6.002065,43.685141,-6.09799
43.774757,-6.002065,43.714338,-6.111266
43.774757,-6.002065,43.743629,-6.124475
43.866402,-6.042717,43.772989,-6.13763
43.866402,-6.042717,43.802379,-6.150857
43.866402,-6.042717,43.831789,-6.1642
