Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^2,,,,,,
54.604,0.193786,0.277627,0.667333,1.000021,1,0,,,,,,
54.739,0.192839,0.270701,0.669122,0.999949,1,0,,,,,,
54.849,0.192481,0.240973,0.663468,0.999823,1,0,,,,,,
54.985,0.191965,0.235144,0.672899,0.999886,1,0,,,,,,
55.089,0.193629,0.268765,0.681037,0.999918,1,0,,,,,,
55.225,0.192444,0.262549,0.681012,0.999951,1,0,,,,,,
55.325,0.187667,0.233919,0.657284,1.000016,1,0,,,,,,
55.461,0.186897,0.228317,0.66347,1.000088,1,0,,,,,,
55.564,0.189431,0.201393,0.653037,1.000182,1,0,,,,,,
55.7,0.189135,0.197132,0.653777,1.00025,1,0,,,,,,
55.8,0.185895,0.230935,0.633177,1.000304,1,0,,,,,,
55.938,0.184909,0.226514,0.667972,1.000316,1,0,,,,,,
56.039,0.182993,0.201721,0.587653,1.000306,1,0,,,,,,
56.176,0.182452,0.197595,0.581687,1.00027,1,0,,,,,,
56.276,0.187345,0.230581,0.551432,1.000279,1,0,,,,,,
56.412,0.186191,0.227643,0.557739,1.00019,1,0,,,,,,
56.516,0.179691,0.204615,0.529133,1.000057,1,0,,,,,,
56.652,0.178935,0.200077,0.516657,0.999981,1,0,,,,,,
56.752,0.179899,0.17617,0.521443,0.999902,1,0,,,,,,
56.884,0.179579,0.170706,0.504033,0.999798,1,0,,,,,,
56.991,0.179922,0.194522,0.507272,0.999876,1,0,,,,,,
57.123,0.179026,0.189902,0.313566,0.999906,1,0,,,,,,
57.231,0.175435,0.179892,0.422934,0.999948,1,0,,,,,,
57.363,0.175002,0.175321,0.45101,1.000009,1,0,,,,,,
57.467,0.178885,0.152422,0.466611,1.0001,1,0,,,,,,
57.603,0.178829,0.143762,0.448246,1.000164,0,0,,,,,,
57.707,0.174488,0.153643,0.450205,1.000238,0,0,,,,,,
57.838,0.173797,0.143938,0.402265,1.000274,0,0,,,,,,
57.947,0.172778,0.121789,0.364033,1.000284,0,0,,,,,,
58.087,0.178198,0.1282,0.333091,1.000257,0,0,,,,,,
58.195,0.177333,0.119056,0.298874,1.00021,0,0,,,,,,
58.331,0.170984,0.100196,0.1413,1.000161,0,0,,,,,,
58.435,0.17084,0.107755,0.193152,1.000074,0,0,,,,,,
58.539,0.172512,0.100145,0.202369,1.000004,0,0,,,,,,
58.678,0.172575,0.093705,0.091617,0.999912,0,0,,,,,,
58.786,0.173951,0.113393,0.016862,0.999828,0,0,,,,,,
58.915,0.173732,0.122161,0.000716,0.999769,0,0,,,,,,
59.024,0.170658,0.130371,-0.002272,0.999851,0,0,,,,,,
59.166,0.17081,0.132626,0.032878,0.999895,0,0,,,,,,
59.27,0.175421,0.130211,0.036507,0.999952,0,0,,,,,,
59.414,0.172835,0.128677,0.038517,1.000036,0,0,,,,,,
59.519,0.172763,0.127957,0.027632,1.000106,0,0,,,,,,
59.658,0.17199,0.126101,0.018088,1.000194,0,0,,,,,,
59.758,0.172351,0.123395,0.011335,1.000243,0,0,,,,,,
59.894,0.178953,0.113468,0.003166,1.000274,0,0,,,,,,
59.998,0.178632,0.105817,-0.0055,1.000269,0,0,,,,,,
60.129,0.172834,0.096412,-0.017496,1.00023,0,0,,,,,,
60.233,0.172885,0.085377,-0.025498,1.000218,0,0,,,,,,
60.365,0.174769,0.072597,-0.031941,1.000143,0,0,,,,,,
60.473,0.175176,0.058053,-0.031562,1.000046,0,0,,,,,,
60.613,0.176761,0.024167,-0.035591,0.999954,0,0,,,,,,
60.713,0.176426,0.007167,-0.033686,0.999885,0,0,,,,,,
60.849,0.173089,-0.008933,-0.028272,0.999811,0,0,,,,,,
60.949,0.173088,-0.024237,-0.020749,0.999826,0,0,,,,,,
61.064,0.177409,-0.038718,-0.009159,0.999862,0,0,,,,,,
61.2,0.177757,-0.052382,-0.000537,0.999898,0,0,,,,,,
61.309,0.174191,-0.077157,0.006593,0.999974,0,0,,,,,,
61.448,0.173013,-0.088374,0.011734,1.000067,0,0,,,,,,
61.561,0.173001,-0.098707,0.012853,1.000139,0,0,,,,,,
61.696,0.178861,-0.116668,0.010274,1.000219,0,0,,,,,,
61.8,0.178127,-0.124421,0.006097,1.000259,0,0,,,,,,
61.914,0.172124,-0.119545,-0.056614,1.000297,0,0,,,,,,
62.048,0.171879,-0.120699,-0.163892,1.000261,0,0,,,,,,
62.152,0.17363,-0.118393,-0.042507,1.000207,0,0,,,,,,
62.28,0.173767,-0.12096,-0.039105,1.000201,0,0,,,,,,
62.39,0.174715,-0.119272,-0.056476,1.000111,0,0,,,,,,
62.524,0.174169,-0.11904,-0.047537,1.000019,0,0,,,,,,
62.628,0.170767,-0.118432,-0.040176,0.999923,0,0,,,,,,
62.764,0.17061,-0.117638,-0.035003,0.999858,0,0,,,,,,
62.876,0.175042,-0.116093,-0.026667,0.999774,0,0,,,,,,
63.015,0.1753,-0.113923,-0.017707,0.99984,0,0,,,,,,
63.116,0.171181,-0.107172,-0.005728,0.999875,0,0,,,,,,
