Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^2,,,,,
64.439,0.03072,0.533831,0.305876,0.910546,0,0,,,,,
64.543,0.051166,0.526587,0.3137,0.91046,0,0,,,,,
64.675,0.045657,0.49535,0.247781,0.910372,0,0,,,,,
64.779,0.035375,0.490688,0.196789,0.910245,0,0,,,,,
64.915,0.042098,0.481582,0.141102,0.910154,0,0,,,,,
65.023,0.020469,0.467389,0.158628,0.910177,0,0,,,,,
65.155,0.02659,0.452931,0.174445,0.910037,0,0,,,,,
65.255,0.011153,0.429787,0.161283,0.909954,0,0,,,,,
65.39,0.013287,0.413824,0.145892,0.909923,0,0,,,,,
65.494,0.018793,0.396004,0.083239,0.909836,0,0,,,,,
65.634,0.012884,0.384227,0.068578,0.909762,0,0,,,,,
65.778,0.038383,0.362893,0.058145,0.909585,0,0,,,,,
65.918,0.016159,0.346845,0.059825,0.909668,0,0,,,,,
66.062,0.012552,0.332299,0.045467,0.909588,0,0,,,,,
66.166,0.034085,0.318497,0.038502,0.909542,0,0,,,,,
66.298,0.026801,0.305837,0.026573,0.90951,0,0,,,,,
66.399,0.049824,0.292518,0.026517,0.909501,0,0,,,,,
66.538,0.042443,0.277806,0.020716,0.909438,0,0,,,,,
66.642,0.034863,0.243037,0.025197,0.90941,0,0,,,,,
66.773,0.04211,0.22483,0.015523,0.90938,0,0,,,,,
66.88,0.018816,0.207664,0.001414,0.909324,0,0,,,,,
67.013,0.025973,0.191825,-0.011005,0.909278,0,0,,,,,
67.118,0.00421,0.176405,-0.015822,0.909312,0,0,,,,,
67.253,0.010083,0.160462,-0.002382,0.909284,0,0,,,,,
67.356,0.01433,0.143386,-0.012305,0.90914,0,0,,,,,
67.489,0.007201,0.130907,0.006939,0.909158,0,0,,,,,
67.594,0.030208,0.12372,-0.06371,0.909186,0,0,,,,,
67.724,0.022841,0.116013,-0.053506,0.9092,0,0,,,,,
67.832,0.046283,0.107167,-0.018182,0.909132,0,0,,,,,
67.964,0.038931,0.096577,0.001795,0.909075,0,0,,,,,
68.07,0.03759,0.079853,-0.001703,0.909174,0,0,,,,,
68.208,0.044904,0.073603,-0.002155,0.90918,0,0,,,,,
68.321,0.021366,0.069461,0.000419,0.909183,0,0,,,,,
68.456,0.002632,0.065011,0.029459,0.909188,0,0,,,,,
68.568,0.005231,0.060369,0.048809,0.909227,0,0,,,,,
68.704,0.01853,0.054012,0.046507,0.909201,0,0,,,,,
68.807,0.011228,0.050185,0.039406,0.909187,0,0,,,,,
68.92,0.034752,0.046713,0.030835,0.9092,0,0,,,,,
69.055,0.027437,0.044635,0.024865,0.909185,0,0,,,,,
69.158,0.049014,0.045116,-0.020807,0.909157,0,0,,,,,
69.295,0.043667,0.046602,-0.04116,0.909135,0,0,,,,,
69.399,0.032794,0.055754,-0.051007,0.9092,0,0,,,,,
