ref x,ref y),x,y
5.200058,0.005159,5.245618,0.030644
5.300062,0.008463,5.279553,0.032994
5.300062,0.008463,5.31348,0.0355
5.300062,0.008463,5.347409,0.038187
5.400031,0.012395,5.381337,0.040996
5.400031,0.012395,5.415259,0.043855
5.499953,0.017064,5.449187,0.046906
5.499953,0.017064,5.48312,0.05012
5.499953,0.017064,5.517044,0.053518
5.599815,0.022577,5.550961,0.057147
5.599815,0.022577,5.584873,0.060932
5.599815,0.022577,5.618762,0.064794
5.699603,0.029043,5.652626,0.068865
5.699603,0.029043,5.686475,0.073104
5.699603,0.029043,5.720309,0.077495
5.799305,0.036572,5.754155,0.082122
5.799305,0.036572,5.787989,0.086862
5.799305,0.036572,5.821788,0.091769
5.898909,0.04527,5.855568,0.09691
5.898909,0.04527,5.889332,0.102232
5.898909,0.04527,5.92308,0.107743
5.9984,0.055242,5.956837,0.113508
5.9984,0.055242,5.990559,0.119398
5.9984,0.055242,6.02423,0.125472
6.097766,0.066519,6.05787,0.131814
6.097766,0.066519,6.091503,0.138415
6.097766,0.066519,6.12511,0.145189
6.196996,0.079071,6.158677,0.152046
6.196996,0.079071,6.192192,0.159004
6.196996,0.079071,6.225678,0.166058
6.296077,0.092867,6.259182,0.1732
6.296077,0.092867,6.292628,0.180624
6.296077,0.092867,6.326028,0.1881
6.394998,0.107876,6.359381,0.195756
6.394998,0.107876,6.392739,0.203553
6.394998,0.107876,6.426054,0.211479
6.493745,0.124066,6.459334,0.219466
6.493745,0.124066,6.492548,0.227568
6.592308,0.141406,6.525716,0.23586
6.592308,0.141406,6.558859,0.244312
6.592308,0.141406,6.591985,0.252832
6.690674,0.159866,6.625069,0.261497
6.690674,0.159866,6.658127,0.270217
6.690674,0.159866,6.691134,0.279056
6.788831,0.179414,6.724099,0.288073
6.788831,0.179414,6.757029,0.297234
6.788831,0.179414,6.789883,0.306558
6.886767,0.200018,6.82265,0.315992
6.886767,0.200018,6.8554,0.325476
6.886767,0.200018,6.88811,0.335127
6.98447,0.221658,6.920807,0.344798
6.98447,0.221658,6.953452,0.354596
6.98447,0.221658,6.98607,0.364484
7.081928,0.244333,7.018647,0.374526
7.081928,0.244333,7.05121,0.384605
7.081928,0.244333,7.083731,0.394845
7.17913,0.268049,7.116244,0.405101
7.17913,0.268049,7.148709,0.415487
7.17913,0.268049,7.181158,0.425886
7.276062,0.29281,7.213568,0.436364
7.276062,0.29281,7.245939,0.446967
7.276062,0.29281,7.278292,0.457634
7.372713,0.318621,7.310608,0.468451
7.372713,0.318621,7.342891,0.479406
7.372713,0.318621,7.375155,0.490401
7.469071,0.345487,7.407386,0.501503
7.469071,0.345487,7.439575,0.512738
7.565124,0.373412,7.471736,0.524051
