ref x,ref y),x,y
4.69992,-0.005322,4.727104,-0.122235
4.799942,-0.003825,4.761242,-0.12234
4.799942,-0.003825,4.79538,-0.122124
4.799942,-0.003825,4.829512,-0.121633
4.899969,-0.002056,4.863633,-0.120905
4.899969,-0.002056,4.897743,-0.11997
4.899969,-0.002056,4.93184,-0.118844
5,0,4.965926,-0.117545
5,0,5.000002,-0.116097
5,0,5.034066,-0.114513
5.100033,0.002374,5.068119,-0.112809
5.100033,0.002374,5.102159,-0.110988
5.100033,0.002374,5.136187,-0.109061
5.200058,0.005159,5.170205,-0.107031
5.200058,0.005159,5.204211,-0.104904
5.200058,0.005159,5.238208,-0.102683
5.300062,0.008463,5.272195,-0.100372
5.300062,0.008463,5.306172,-0.097972
5.300062,0.008463,5.340142,-0.095487
5.400031,0.012395,5.374102,-0.092916
5.400031,0.012395,5.408055,-0.090264
5.400031,0.012395,5.441999,-0.087529
5.499953,0.017064,5.475936,-0.084714
5.499953,0.017064,5.509865,-0.08182
5.499953,0.017064,5.543789,-0.078844
5.599815,0.022577,5.577787,-0.075623
5.599815,0.022577,5.611949,-0.071953
5.599815,0.022577,5.646342,-0.067643
5.699603,0.029043,5.680373,-0.062635
5.699603,0.029043,5.70639,-0.057931
5.699603,0.029043,5.722996,-0.054049
5.699603,0.029043,5.732452,-0.051619
5.699603,0.029043,5.739368,-0.049743
5.699603,0.029043,5.75407,-0.045804
5.799305,0.036572,5.776296,-0.040099
5.799305,0.036572,5.80243,-0.033677
5.799305,0.036572,5.830369,-0.027114
5.898909,0.04527,5.857682,-0.021056
5.898909,0.04527,5.876114,-0.016766
5.898909,0.04527,5.886644,-0.014195
5.898909,0.04527,5.892922,-0.012601
5.898909,0.04527,5.899456,-0.010884
5.898909,0.04527,5.915285,-0.006812
5.898909,0.04527,5.939593,-0.000879
5.9984,0.055242,5.968564,0.005837
5.9984,0.055242,5.999736,0.012733
5.9984,0.055242,6.031967,0.019428
6.097766,0.066519,6.064765,0.025681
6.097766,0.066519,6.097883,0.031507
6.097766,0.066519,6.131182,0.037065
6.196996,0.079071,6.164604,0.042624
6.196996,0.079071,6.198147,0.048407
6.196996,0.079071,6.231839,0.054621
6.296077,0.092867,6.265713,0.061453
6.296077,0.092867,6.2998,0.06907
6.296077,0.092867,6.334139,0.077647
6.394998,0.107876,6.368752,0.087345
6.394998,0.107876,6.403517,0.098243
6.394998,0.107876,6.438111,0.110132
6.493745,0.124066,6.472335,0.122902
6.493745,0.124066,6.506129,0.136433
6.493745,0.124066,6.539481,0.150622
6.592308,0.141406,6.57225,0.165197
6.592308,0.141406,6.604305,0.179797
6.690674,0.159866,6.635733,0.194163
6.690674,0.159866,6.666721,0.20815
6.690674,0.159866,6.697462,0.221651
6.788831,0.179414,6.728139,0.234598
6.788831,0.179414,6.75891,0.246942
6.788831,0.179414,6.789901,0.258647
6.886767,0.200018,6.821217,0.26967
6.886767,0.200018,6.852941,0.279969
6.886767,0.200018,6.885128,0.289501
6.98447,0.221658,6.917688,0.298329
6.98447,0.221658,6.950524,0.306546
6.98447,0.221658,6.983566,0.314238
7.081928,0.244333,7.016761,0.321481
7.081928,0.244333,7.049973,0.328496
7.081928,0.244333,7.083136,0.335512
7.17913,0.268049,7.116247,0.342734
7.17913,0.268049,7.149332,0.350342
7.17913,0.268049,7.182429,0.358503
7.276062,0.29281,7.215566,0.367363
7.276062,0.29281,7.248774,0.377059
7.276062,0.29281,7.282082,0.387723
7.372713,0.318621,7.315425,0.399436
7.372713,0.318621,7.348433,0.411743
7.372713,0.318621,7.380966,0.424279
7.469071,0.345487,7.413089,0.43678
7.469071,0.345487,7.444936,0.449072
7.469071,0.345487,7.476664,0.46102
7.565124,0.373412,7.508423,0.472524
