ref x,ref y),x,y0.000000,0,0.003551,0.000045
4.399874,-0.008331,4.384827,-0.094361,,,
4.399874,-0.008331,4.418815,-0.093433,,,
4.499886,-0.007559,4.452799,-0.092462,,,
4.499886,-0.007559,4.486775,-0.09146,,,
4.499886,-0.007559,4.520745,-0.090432,,,
4.599901,-0.006562,4.554709,-0.089381,,,
4.599901,-0.006562,4.588669,-0.088298,,,
4.599901,-0.006562,4.622645,-0.087143,,,
4.69992,-0.005322,4.656696,-0.085699,,,
4.69992,-0.005322,4.690891,-0.083792,,,
4.69992,-0.005322,4.72529,-0.081264,,,
4.799942,-0.003825,4.759958,-0.07796,,,
4.799942,-0.003825,4.794891,-0.07375,,,
4.799942,-0.003825,4.829948,-0.06864,,,
4.899969,-0.002056,4.86494,-0.06277,,,
4.899969,-0.002056,4.899662,-0.056339,,,
4.899969,-0.002056,4.933926,-0.049681,,,
5,0,4.967745,-0.043048,,,
5,0,5.001222,-0.036625,,,
5,0,5.034498,-0.030568,,,
5.100033,0.002374,5.067715,-0.024808,,,
5.100033,0.002374,5.101023,-0.019045,,,
5.100033,0.002374,5.134516,-0.013025,,,
5.200058,0.005159,5.168162,-0.006657,,,
5.200058,0.005159,5.201768,-0.000121,,,
5.200058,0.005159,5.235219,0.00636,,,
5.300062,0.008463,5.268541,0.012591,,,
5.300062,0.008463,5.301825,0.018465,,,
5.300062,0.008463,5.335133,0.023942,,,
5.400031,0.012395,5.368541,0.028903,,,
5.400031,0.012395,5.40213,0.033247,,,
5.400031,0.012395,5.435978,0.036884,,,
5.499953,0.017064,5.470157,0.039717,,,
5.499953,0.017064,5.504723,0.041651,,,
5.499953,0.017064,5.539537,0.04271,,,
5.599815,0.022577,5.574427,0.042962,,,
5.599815,0.022577,5.609293,0.042382,,,
5.599815,0.022577,5.644092,0.041139,,,
5.699603,0.029043,5.678838,0.03954,,,
5.699603,0.029043,5.713506,0.037491,,,
5.699603,0.029043,5.748119,0.035046,,,
5.799305,0.036572,5.782878,0.032033,,,
5.799305,0.036572,5.817884,0.028298,,,
5.898909,0.04527,5.852959,0.02389,,,
5.898909,0.04527,5.887967,0.018888,,,
5.898909,0.04527,5.922809,0.013365,,,
5.9984,0.055242,5.957233,0.007617,,,
5.9984,0.055242,5.991191,0.001906,,,
5.9984,0.055242,6.024764,-0.003577,,,
6.097766,0.066519,6.056655,-0.008465,,,
6.097766,0.066519,6.08134,-0.012086,,,
6.097766,0.066519,6.101433,-0.01475,,,
6.097766,0.066519,6.119381,-0.016758,,,
6.097766,0.066519,6.136411,-0.018251,,,
6.097766,0.066519,6.155089,-0.019386,,,
6.196996,0.079071,6.181086,-0.020016,,,
6.196996,0.079071,6.211683,-0.019673,,,
6.196996,0.079071,6.244745,-0.018216,,,
6.296077,0.092867,6.276988,-0.015787,,,
6.296077,0.092867,6.303744,-0.012976,,,
6.296077,0.092867,6.327301,-0.009731,,,
6.296077,0.092867,6.34931,-0.006371,,,
6.394998,0.107876,6.373132,-0.002396,,,
6.394998,0.107876,6.402174,0.002434,,,
6.394998,0.107876,6.433678,0.007586,,,
6.493745,0.124066,6.466249,0.012717,,,
6.493745,0.124066,6.499283,0.017601,,,
6.493745,0.124066,6.532541,0.022069,,,
6.592308,0.141406,6.565955,0.025994,,,
6.592308,0.141406,6.599533,0.029286,,,
6.592308,0.141406,6.633333,0.031846,,,
6.690674,0.159866,6.663713,0.033624,,,
6.690674,0.159866,6.688793,0.035059,,,
6.690674,0.159866,6.711166,0.036334,,,
6.690674,0.159866,6.732266,0.037615,,,
6.690674,0.159866,6.752822,0.039025,,,
6.788831,0.179414,6.77321,0.040674,,,
6.788831,0.179414,6.793625,0.042661,,,
6.788831,0.179414,6.814179,0.045075,,,
6.788831,0.179414,6.834935,0.048003,,,
6.788831,0.179414,6.855788,0.051422,,,
6.886767,0.200018,6.876613,0.05525,,,
6.886767,0.200018,6.897355,0.059425,,,
6.886767,0.200018,6.917996,0.063896,,,
6.886767,0.200018,6.938532,0.068623,,,
6.886767,0.200018,6.958966,0.073575,,,
6.98447,0.221658,6.979305,0.078726,,,
6.98447,0.221658,6.999899,0.084143,,,
6.98447,0.221658,7.025265,0.090791,,,
6.98447,0.221658,7.054698,0.098302,,,
7.081928,0.244333,7.086021,0.106053,,,
7.081928,0.244333,7.118207,0.113641,,,
7.081928,0.244333,7.150835,0.120826,,,
7.17913,0.268049,7.183742,0.127496,,,
7.17913,0.268049,7.216884,0.133578,,,
7.17913,0.268049,7.250299,0.138952,,,
7.276062,0.29281,7.283994,0.143557,,,
7.276062,0.29281,7.317751,0.14768,,,
7.276062,0.29281,7.351486,0.151571,,,
7.372713,0.318621,7.385211,0.155388,,,
7.372713,0.318621,7.417551,0.159115,,,
7.372713,0.318621,7.444025,0.162373,,,
7.372713,0.318621,7.467176,0.16549,,,
7.469071,0.345487,7.488814,0.168803,,,
7.469071,0.345487,7.509844,0.172504,,,
7.469071,0.345487,7.532412,0.177086,,,
7.469071,0.345487,7.560602,0.184,,,
7.565124,0.373412,7.592171,0.192885,,,
7.565124,0.373412,7.625245,0.20308,,,
7.565124,0.373412,7.658714,0.214176,,,
7.660861,0.4024,7.692036,0.225542,,,
7.660861,0.4024,7.724982,0.236875,,,
7.660861,0.4024,7.757643,0.247777,,,
7.756268,0.432457,7.79007,0.258233,,,
7.756268,0.432457,7.82239,0.268153,,,
7.756268,0.432457,7.854708,0.277516,,,
7.851334,0.463587,7.887131,0.286295,,,
7.851334,0.463587,7.91972,0.294485,,,
7.851334,0.463587,7.952426,0.302451,,,
7.946048,0.495785,7.98525,0.310465,,,
7.946048,0.495785,8.018169,0.318887,,,
7.946048,0.495785,8.051233,0.327838,,,
8.040398,0.529047,8.084465,0.337493,,,
8.040398,0.529047,8.117833,0.347989,,,
8.040398,0.529047,8.151199,0.359257,,,
8.134372,0.563365,8.184374,0.371225,,,
8.134372,0.563365,8.217238,0.383872,,,
8.134372,0.563365,8.249915,0.39686,,,
8.227959,0.598732,8.282204,0.410093,,,
8.227959,0.598732,8.314078,0.423254,,,
8.321147,0.635144,8.345639,0.436158,,,
8.321147,0.635144,8.377036,0.44868,,,
8.321147,0.635144,8.408427,0.461021,,,
8.321147,0.635144,8.439889,0.473447,,,
8.413924,0.672591,8.47142,0.485982,,,
8.413924,0.672591,8.502979,0.498621,,,
8.413924,0.672591,8.534542,0.511365,,,
8.506281,0.71107,8.566093,0.524216,,,
8.506281,0.71107,8.59762,0.537182,,,
8.506281,0.71107,8.629117,0.550262,,,
8.598203,0.750571,8.660578,0.563461,,,
8.598203,0.750571,8.692,0.57678,,,
8.598203,0.750571,8.723377,0.59022,,,
8.689681,0.79109,8.754709,0.603784,,,
8.689681,0.79109,8.784973,0.617039,,,
8.689681,0.79109,8.807384,0.627427,,,
8.780703,0.832621,8.822092,0.634717,,,
8.780703,0.832621,8.832035,0.639889,,,
8.780703,0.832621,8.841155,0.644807,,,
8.780703,0.832621,8.85784,0.653757,,,
8.780703,0.832621,8.880883,0.66586,,,
8.780703,0.832621,8.907695,0.679688,,,
8.871257,0.875157,8.936418,0.694378,,,
8.871257,0.875157,8.966048,0.709532,,,
8.871257,0.875157,8.996089,0.724972,,,
8.961333,0.918694,9.026301,0.740607,,,
8.961333,0.918694,9.05656,0.756403,,,
8.961333,0.918694,9.084517,0.771176,,,
9.05092,0.963227,9.103718,0.782,,,
9.05092,0.963227,9.115931,0.789245,,,
9.05092,0.963227,9.124444,0.794516,,,
9.05092,0.963227,9.131241,0.798849,,,
9.05092,0.963227,9.140457,0.804722,,,
9.05092,0.963227,9.158054,0.815776,,,
9.140006,1.008752,9.181531,0.830436,,,
9.140006,1.008752,9.208079,0.846566,,,
9.140006,1.008752,9.236089,0.863427,,,
9.228581,1.055262,9.264799,0.880674,,,
9.228581,1.055262,9.293831,0.898141,,,
9.228581,1.055262,9.32299,0.915759,,,
9.316634,1.102752,9.352182,0.933489,,,
9.316634,1.102752,9.381359,0.951323,,,
9.316634,1.102752,9.410494,0.969256,,,
9.404154,1.151219,9.439573,0.987293,,,
9.404154,1.151219,9.468605,1.005421,,,
9.404154,1.151219,9.497624,1.023595,,,
9.491128,1.200656,9.526627,1.041821,,,
9.491128,1.200656,9.555667,1.060042,,,
9.491128,1.200656,9.58457,1.078281,,,
9.491128,1.200656,9.607804,1.093084,,,
9.577548,1.251059,9.623312,1.102741,,,
9.577548,1.251059,9.633554,1.109227,,,
9.577548,1.251059,9.641433,1.114371,,,
9.577548,1.251059,9.65476,1.123441,,,
9.577548,1.251059,9.675049,1.137942,,,
9.663402,1.302421,9.699108,1.155453,,,
9.663402,1.302421,9.724986,1.174328,,,
9.663402,1.302421,9.751315,1.193495,,,
9.663402,1.302421,9.771448,1.208149,,,
9.748679,1.354735,9.784423,1.217804,,,
9.748679,1.354735,9.793129,1.224485,,,
9.748679,1.354735,9.800617,1.23039,,,
9.748679,1.354735,9.814697,1.24127,,,
9.748679,1.354735,9.834996,1.257438,,,
9.833369,1.407993,9.858551,1.276308,,,
9.833369,1.407993,9.883909,1.296237,,,
9.833369,1.407993,9.910081,1.316746,,,
9.833369,1.407993,9.936637,1.337559,,,
9.917463,1.462191,9.963353,1.35855,,,
9.917463,1.462191,9.990112,1.379666,,,
9.917463,1.462191,10.016853,1.400845,,,
10.00095,1.517319,10.043561,1.421851,,,
10.00095,1.517319,10.070316,1.442524,,,
10.00095,1.517319,10.097238,1.462784,,,
10.083818,1.573372,10.122658,1.481349,,,
10.083818,1.573372,10.140292,1.494469,,,
10.083818,1.573372,10.151489,1.502962,,,
10.083818,1.573372,10.159231,1.50891,,,
10.083818,1.573372,10.167868,1.515628,,,
10.166059,1.630343,10.184118,1.527923,,,
10.166059,1.630343,10.205993,1.544008,,,
10.166059,1.630343,10.230945,1.561881,,,
10.166059,1.630343,10.254319,1.578356,,,
10.247661,1.688224,10.270166,1.589738,,,
10.247661,1.688224,10.280457,1.597401,,,
10.247661,1.688224,10.287889,1.603054,,,
10.247661,1.688224,10.29402,1.607838,,,
10.247661,1.688224,10.303187,1.615106,,,
10.247661,1.688224,10.320017,1.628265,,,
10.328614,1.74701,10.342055,1.645225,,,
10.328614,1.74701,10.366841,1.66398,,,
10.328614,1.74701,10.388447,1.680277,,,
10.328614,1.74701,10.402844,1.691392,,,
10.328614,1.74701,10.412288,1.699021,,,
10.328614,1.74701,10.419301,1.704834,,,
10.408908,1.806692,10.430134,1.713886,,,
10.408908,1.806692,10.448055,1.728579,,,
10.408908,1.806692,10.470471,1.74662,,,
10.408908,1.806692,10.495182,1.766164,,,
10.488534,1.867262,10.521164,1.786151,,,
10.488534,1.867262,10.54793,1.806139,,,
10.488534,1.867262,10.575333,1.825872,,,
10.567482,1.928714,10.603362,1.845209,,,
10.567482,1.928714,10.632061,1.864052,,,
10.567482,1.928714,10.661273,1.882271,,,
10.645741,1.991039,10.68951,1.89934,,,
10.645741,1.991039,10.716758,1.915663,,,
10.645741,1.991039,10.74347,1.931812,,,
10.723305,2.05423,10.771011,1.948658,,,
10.723305,2.05423,10.799139,1.966254,,,
10.723305,2.05423,10.827471,1.984501,,,
10.80016,2.118278,10.855743,2.003527,,,
10.80016,2.118278,10.883871,2.023373,,,
10.80016,2.118278,10.911792,2.04415,,,
10.876299,2.183177,10.939459,2.065975,,,
10.876299,2.183177,10.966808,2.088946,,,
10.876299,2.183177,10.993689,2.112984,,,
10.951713,2.248918,11.020032,2.13778,,,
10.951713,2.248918,11.045776,2.163155,,,
10.951713,2.248918,11.070862,2.189032,,,
11.026389,2.315493,11.095246,2.215373,,,
11.026389,2.315493,11.118963,2.24202,,,
11.100322,2.382895,11.142118,2.268488,,,
11.100322,2.382895,11.164848,2.294561,,,
11.100322,2.382895,11.187356,2.320183,,,
11.173499,2.451116,11.20983,2.345392,,,
11.173499,2.451116,11.232416,2.370161,,,
11.173499,2.451116,11.255264,2.394477,,,
11.245914,2.520145,11.278514,2.418335,,,
11.245914,2.520145,11.302287,2.441733,,,
11.245914,2.520145,11.326134,2.464283,,,
11.245914,2.520145,11.349156,2.485681,,,
11.317558,2.589975,11.371775,2.506587,,,
11.317558,2.589975,11.394217,2.527415,,,
11.317558,2.589975,11.416605,2.548416,,,
11.388421,2.660597,11.438902,2.56985,,,
11.388421,2.660597,11.461011,2.591913,,,
11.388421,2.660597,11.482811,2.614615,,,
11.458495,2.732002,11.504178,2.63782,,,
11.458495,2.732002,11.525102,2.661409,,,
11.458495,2.732002,11.545599,2.685299,,,
11.527772,2.804181,11.565829,2.709359,,,
11.527772,2.804181,11.585735,2.733611,,,
11.527772,2.804181,11.605351,2.758029,,,
11.596242,2.877126,11.624699,2.782598,,,
11.596242,2.877126,11.643797,2.807308,,,
11.596242,2.877126,11.662666,2.832162,,,
11.596242,2.877126,11.68207,2.857925,,,
11.663897,2.950828,11.702101,2.884379,,,
11.663897,2.950828,11.722433,2.911094,,,
11.663897,2.950828,11.742914,2.937958,,,
11.730727,3.025277,11.763506,2.964756,,,
11.730727,3.025277,11.784273,2.991296,,,
11.730727,3.025277,11.80533,3.017497,,,
11.796725,3.100465,11.826796,3.043327,,,
11.796725,3.100465,11.848545,3.068944,,,
11.796725,3.100465,11.870427,3.094579,,,
11.861883,3.176383,11.892318,3.12044,,,
11.861883,3.176383,11.914106,3.146726,,,
11.861883,3.176383,11.935682,3.173593,,,
11.926194,3.253019,11.956909,3.200988,,,
11.926194,3.253019,11.977796,3.228741,,,
11.926194,3.253019,11.998327,3.256763,,,
11.989649,3.330366,12.018513,3.284999,,,
11.989649,3.330366,12.038374,3.313416,,,
12.052241,3.408413,12.057939,3.341989,,,
12.052241,3.408413,12.077221,3.370704,,,
12.052241,3.408413,12.09624,3.399591,,,
12.113961,3.48715,12.114958,3.428875,,,
12.113961,3.48715,12.133351,3.458459,,,
12.113961,3.48715,12.151398,3.488265,,,
12.174804,3.566569,12.169102,3.518245,,,
12.174804,3.566569,12.186484,3.548309,,,
12.174804,3.566569,12.203622,3.578161,,,
12.234758,3.646659,12.220682,3.607655,,,
12.234758,3.646659,12.237843,3.636752,,,
12.234758,3.646659,12.255274,3.665458,,,
12.293819,3.727411,12.273121,3.693797,,,
12.293819,3.727411,12.29152,3.721792,,,
12.293819,3.727411,12.310584,3.749458,,,
12.351978,3.808814,12.33029,3.776798,,,
12.351978,3.808814,12.350312,3.80393,,,
12.351978,3.808814,12.370445,3.831014,,,
12.409228,3.89086,12.390541,3.85822,,,
12.409228,3.89086,12.410478,3.885726,,,
12.409228,3.89086,12.430158,3.913686,,,
12.465563,3.973537,12.449502,3.94224,,,
12.465563,3.973537,12.468434,3.971399,,,
12.465563,3.973537,12.486891,4.00098,,,
12.520975,4.056834,12.504914,4.031002,,,
12.520975,4.056834,12.522459,4.061678,,,
12.520975,4.056834,12.539434,4.092949,,,
12.575459,4.140743,12.55577,4.124606,,,
12.575459,4.140743,12.571509,4.156313,,,
12.575459,4.140743,12.586652,4.187765,,,
12.629006,4.225251,12.601524,4.218803,,,
12.629006,4.225251,12.616426,4.249382,,,
12.629006,4.225251,12.631509,4.279547,,,
12.681611,4.310349,12.646945,4.309343,,,
12.681611,4.310349,12.662876,4.338813,,,
12.681611,4.310349,12.679433,4.367989,,,
12.733268,4.396028,12.696718,4.396899,,,
12.733268,4.396028,12.71484,4.425553,,,
12.783968,4.482274,12.733895,4.453949,,,
12.783968,4.482274,12.753923,4.482042,,,
12.783968,4.482274,12.774685,4.509684,,,
12.833705,4.56908,12.794954,4.535799,,,
12.833705,4.56908,12.814756,4.560652,,,
12.833705,4.56908,12.83425,4.584814,,,
12.833705,4.56908,12.853518,4.608827,,,
12.882475,4.656433,12.873181,4.634141,,,
12.882475,4.656433,12.893026,4.660546,,,
12.882475,4.656433,12.91271,4.687787,,,
12.93027,4.744323,12.932044,4.715794,,,
12.93027,4.744323,12.950904,4.744585,,,
12.93027,4.744323,12.969201,4.774213,,,
12.977085,4.832739,12.986841,4.804736,,,
12.977085,4.832739,13.003701,4.836046,,,
12.977085,4.832739,13.019052,4.866583,,,
13.022915,4.921669,13.029467,4.889038,,,
13.022915,4.921669,13.035629,4.902869,,,
13.022915,4.921669,13.039067,4.910603,,,
13.022915,4.921669,13.042174,4.917417,,,
13.022915,4.921669,13.049404,4.932723,,,
13.022915,4.921669,13.060385,4.955676,,,
13.067755,5.011104,13.073322,4.983258,,,
13.067755,5.011104,13.086876,5.013312,,,
13.067755,5.011104,13.100539,5.04466,,,
13.111597,5.101031,13.113909,5.076883,,,
13.111597,5.101031,13.12686,5.109588,,,
13.111597,5.101031,13.139343,5.142568,,,
13.154437,5.19144,13.151407,5.175621,,,
13.154437,5.19144,13.163069,5.208567,,,
13.19627,5.282319,13.174403,5.241473,,,
13.19627,5.282319,13.185429,5.274388,,,
13.19627,5.282319,13.196216,5.307206,,,
13.237089,5.373658,13.206921,5.339705,,,
13.237089,5.373658,13.217731,5.37182,,,
13.237089,5.373658,13.228814,5.403573,,,
13.27689,5.465445,13.240317,5.435017,,,
13.27689,5.465445,13.252374,5.466201,,,
13.27689,5.465445,13.265097,5.49717,,,
13.315668,5.55767,13.278583,5.527957,,,
13.315668,5.55767,13.292929,5.558584,,,
13.315668,5.55767,13.30823,5.589063,,,
13.353418,5.650319,13.324543,5.619372,,,
13.353418,5.650319,13.341755,5.649429,,,
13.353418,5.650319,13.359677,5.679164,,,
13.390137,5.743382,13.377985,5.708525,,,
13.390137,5.743382,13.39635,5.737559,,,
13.390137,5.743382,13.414657,5.766345,,,
13.425818,5.836848,13.432918,5.794934,,,
13.425818,5.836848,13.450776,5.823682,,,
13.425818,5.836848,13.468201,5.852703,,,
13.460461,5.930705,13.485135,5.882129,,,
13.460461,5.930705,13.50152,5.912078,,,
13.460461,5.930705,13.517297,5.942651,,,
13.494057,6.02494,13.5324,5.973952,,,
13.494057,6.02494,13.546753,6.006081,,,
13.494057,6.02494,13.560261,6.039109,,,
13.526603,6.119543,13.57284,6.072778,,,
13.526603,6.119543,13.584715,6.106568,,,
13.526603,6.119543,13.595912,6.140406,,,
13.558096,6.214502,13.606525,6.174296,,,
13.558096,6.214502,13.616542,6.207957,,,
13.558096,6.214502,13.625915,6.239895,,,
13.588531,6.309806,13.634809,6.270788,,,
13.588531,6.309806,13.643367,6.301206,,,
13.588531,6.309806,13.651655,6.331425,,,
13.617903,6.405442,13.659708,6.361578,,,
13.617903,6.405442,13.667524,6.391731,,,
13.617903,6.405442,13.675019,6.421917,,,
13.646211,6.501399,13.682088,6.452151,,,
13.646211,6.501399,13.688964,6.482885,,,
13.646211,6.501399,13.695836,6.515226,,,
13.67345,6.597664,13.702697,6.548447,,,
13.67345,6.597664,13.709377,6.582106,,,
13.67345,6.597664,13.71583,6.615987,,,
13.699618,6.694227,13.722028,6.649983,,,
13.699618,6.694227,13.727966,6.68404,,,
13.699618,6.694227,13.733641,6.718138,,,
13.724712,6.791074,13.739057,6.752266,,,
13.724712,6.791074,13.744267,6.786321,,,
13.724712,6.791074,13.749458,6.82008,,,
13.748728,6.888194,13.754815,6.853497,,,
13.748728,6.888194,13.760488,6.886647,,,
13.748728,6.888194,13.766405,6.91972,,,
13.771664,6.985574,13.772309,6.952997,,,
13.771664,6.985574,13.777994,6.986673,,,
13.771664,6.985574,13.783274,7.020766,,,
13.793514,7.083204,13.788191,7.054996,,,
13.793514,7.083204,13.792937,7.089118,,,
13.793514,7.083204,13.797506,7.123184,,,
13.814278,7.181071,13.801883,7.157238,,,
13.814278,7.181071,13.806167,7.191171,,,
13.814278,7.181071,13.810541,7.224856,,,
13.833952,7.279162,13.815149,7.25835,,,
13.833952,7.279162,13.819933,7.291748,,,
13.833952,7.279162,13.824957,7.325058,,,
13.852533,7.377467,13.83037,7.358254,,,
13.852533,7.377467,13.836307,7.391362,,,
13.852533,7.377467,13.842876,7.42443,,,
13.870022,7.475972,13.850191,7.457491,,,
13.870022,7.475972,13.858264,7.490507,,,
13.870022,7.475972,13.866921,7.523446,,,
13.886415,7.574665,13.876077,7.556291,,,
13.886415,7.574665,13.885655,7.589037,,,
13.886415,7.574665,13.895578,7.621695,,,
13.90171,7.673534,13.905802,7.654266,,,
13.90171,7.673534,13.916285,7.68676,,,
13.90171,7.673534,13.926999,7.719175,,,
13.915906,7.772567,13.937808,7.751477,,,
13.915906,7.772567,13.948497,7.783724,,,
13.915906,7.772567,13.958764,7.816077,,,
13.929,7.871751,13.968574,7.848613,,,
13.929,7.871751,13.977829,7.881438,,,
13.929,7.871751,13.986433,7.914652,,,
13.94099,7.971076,13.994293,7.948348,,,
13.94099,7.971076,14.001319,7.982591,,,
13.951876,8.070527,14.007437,8.017348,,,
13.951876,8.070527,14.012748,8.052373,,,
13.951876,8.070527,14.017327,8.08751,,,
13.961654,8.170093,14.021258,8.122678,,,
13.961654,8.170093,14.024585,8.157863,,,
13.961654,8.170093,14.027261,8.19315,,,
13.970325,8.269761,14.029401,8.228466,,,
13.970325,8.269761,14.031058,8.263762,,,
13.970325,8.269761,14.032275,8.299016,,,
13.977887,8.36952,14.033145,8.334132,,,
13.977887,8.36952,14.033871,8.368872,,,
13.977887,8.36952,14.034445,8.403245,,,
13.984341,8.469357,14.034777,8.437425,,,
13.984341,8.469357,14.03493,8.471523,,,
