Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^24.525000,0.003552,0.168582,0.118446,0.298935,10,9
15.449,0.141518,4.663002,3.85043,0.381638,28,-1,,,,,,
15.553,0.131273,4.261968,6.901257,0.660819,16,2,,,,,,
15.693,0.119209,3.665714,9.238744,0.986601,16,0,,,,,,
15.793,0.109946,3.394353,8.717122,1.003762,-15,0,,,,,,
15.925,0.11066,3.006069,5.700539,0.990751,28,0,,,,,,
16.033,0.097657,3.263402,2.083655,0.336334,28,0,,,,,,
16.164,0.095123,3.512478,3.814659,0.863188,28,1,,,,,,
16.264,0.101025,3.848918,2.211563,0.461212,28,-1,,,,,,
16.396,0.091813,3.612533,3.016851,0.496271,-14,2,,,,,,
16.508,0.091407,3.827677,4.070387,0.9429,28,-3,,,,,,
16.64,0.100015,3.475026,2.066814,0.256216,-14,3,,,,,,
16.744,0.086015,3.700405,4.892354,0.89705,-14,0,,,,,,
16.86,0.096163,3.866956,1.496494,0.99846,-14,0,,,,,,
16.992,0.10466,4.550227,-2.169507,0.998767,22,0,,,,,,
17.098,0.11585,6.124392,-1.576797,0.965289,28,0,,,,,,
17.228,0.127504,6.80032,1.025396,1.007331,28,0,,,,,,
17.336,0.130657,6.86913,7.335145,1.056695,28,0,,,,,,
17.468,0.127291,6.541701,10.890553,1.061892,28,0,,,,,,
17.574,0.121803,6.122807,12.700585,1.025454,15,0,,,,,,
17.703,0.111792,5.584327,10.240857,0.98904,-18,0,,,,,,
17.812,0.096573,5.167923,5.137637,0.982754,22,0,,,,,,
17.947,0.099464,5.41798,3.377045,0.901576,22,0,,,,,,
18.05,0.099935,5.51885,5.397406,0.922863,22,0,,,,,,
18.179,0.097056,5.463448,7.944113,0.926426,22,0,,,,,,
18.288,0.09027,4.926919,9.223244,0.920583,22,0,,,,,,
18.419,0.080212,4.60199,9.857502,0.92391,15,0,,,,,,
18.526,0.080058,3.958258,8.837993,0.995596,-18,0,,,,,,
18.658,0.075007,3.819199,6.139333,0.988819,19,0,,,,,,
18.764,0.063685,4.433017,4.791712,1.00061,19,0,,,,,,
18.898,0.06042,4.472743,6.93947,1.021615,19,0,,,,,,
19.002,0.051589,4.034805,8.56459,1.020106,19,0,,,,,,
19.13,0.044874,3.760211,9.38236,1.02074,22,0,,,,,,
